Company_Name,City,Product_Requirement,Est_Consumption_Kg,Status
"Yadav, Sagar and Vasa Refineries",Coimbatore,Manganese Sulphate,4783,Discussion Stage
"Dutta, Barman and Dhillon Refineries",Hyderabad,Manganese Sulphate,829,Leads Generated
Shere LLC Refineries,Hosur,Nickel Sulphate,2169,LOI Received
"Oommen, Balakrishnan and Chowdhury Refineries",Hyderabad,Cobalt Sulphate,2520,Leads Generated
"Andra, Balan and Sibal Refineries",Chennai,Manganese Sulphate,4856,Leads Generated
Dugar-Brahmbhatt Refineries,Hosur,Lithium Carbonate,676,Leads Generated
"Oak, Bhandari and Desai Refineries",Chennai,Lithium Carbonate,4500,Leads Generated
"Borra, Dutt and Parekh Refineries",Hosur,Nickel Sulphate,2002,Discussion Stage
"Gole, Saxena and Shankar Refineries",Chennai,Nickel Sulphate,4853,Sample Requested
Ben Group Refineries,Bengaluru,Cobalt Sulphate,4297,LOI Received
Sandal and Sons Refineries,Visakhapatnam,Nickel Sulphate,1645,Discussion Stage
"Sastry, Rastogi and Raghavan Refineries",Kochi,Nickel Sulphate,4215,Leads Generated
"Nori, Bains and Thaman Refineries",Hyderabad,Lithium Carbonate,4263,Contacted
Mody-Dave Refineries,Hosur,Cobalt Sulphate,770,Contacted
Dugar-Dewan Refineries,Visakhapatnam,Manganese Sulphate,3664,Discussion Stage
"Hari, Bhavsar and Dube Refineries",Hosur,Manganese Sulphate,2669,Sample Requested
Barman-Kunda Refineries,Bengaluru,Nickel Sulphate,1467,Discussion Stage
Pillai-Dube Refineries,Bengaluru,Manganese Sulphate,4336,Contacted
"Loke, Sankar and Brar Refineries",Kochi,Nickel Sulphate,3445,Contacted
Zachariah-Kapoor Refineries,Coimbatore,Lithium Carbonate,3882,Discussion Stage
Ramachandran-Kade Refineries,Visakhapatnam,Manganese Sulphate,1597,Leads Generated
Hans-Iyengar Refineries,Kochi,Nickel Sulphate,4264,Discussion Stage
"Nayar, Sibal and Balasubramanian Refineries",Hyderabad,Lithium Carbonate,4140,Leads Generated
Madan-Issac Refineries,Visakhapatnam,Nickel Sulphate,1825,Leads Generated
Parekh PLC Refineries,Coimbatore,Manganese Sulphate,4858,LOI Received
Sunder-Pingle Refineries,Hosur,Lithium Carbonate,575,Contacted
Gade LLC Refineries,Bengaluru,Lithium Carbonate,829,Contacted
"Chaudhry, Bhardwaj and Nadig Refineries",Chennai,Nickel Sulphate,2918,Discussion Stage
Upadhyay Inc Refineries,Visakhapatnam,Cobalt Sulphate,1989,Discussion Stage
Warrior PLC Refineries,Hosur,Cobalt Sulphate,4633,LOI Received
"Pandey, Bansal and Mahal Refineries",Visakhapatnam,Manganese Sulphate,4134,Leads Generated
Atwal and Sons Refineries,Coimbatore,Manganese Sulphate,1265,Leads Generated
Agrawal-Hayre Refineries,Coimbatore,Manganese Sulphate,4330,LOI Received
Keer and Sons Refineries,Kochi,Nickel Sulphate,2560,Leads Generated
Kaur Ltd Refineries,Hosur,Manganese Sulphate,1513,Sample Requested
"Doctor, Divan and Handa Refineries",Kochi,Lithium Carbonate,1234,Leads Generated
Ramaswamy-Dada Refineries,Hyderabad,Nickel Sulphate,1654,Leads Generated
Mani Inc Refineries,Hosur,Nickel Sulphate,3400,Leads Generated
"Kapadia, Krishnamurthy and Dasgupta Refineries",Visakhapatnam,Cobalt Sulphate,1448,Leads Generated
"Korpal, Magar and Mallick Refineries",Chennai,Manganese Sulphate,4499,Discussion Stage
Sem Ltd Refineries,Visakhapatnam,Lithium Carbonate,4708,Discussion Stage
"Ahuja, Krish and Misra Refineries",Chennai,Cobalt Sulphate,4458,Discussion Stage
Bawa PLC Refineries,Hosur,Nickel Sulphate,1646,Contacted
Rastogi Inc Refineries,Kochi,Nickel Sulphate,1019,Contacted
Dutta-Srinivasan Refineries,Hyderabad,Lithium Carbonate,1066,Discussion Stage
"Acharya, Bakshi and Pingle Refineries",Bengaluru,Manganese Sulphate,1483,Leads Generated
Reddy-Modi Refineries,Hosur,Cobalt Sulphate,1876,Leads Generated
Sharma Group Refineries,Coimbatore,Manganese Sulphate,1667,Leads Generated
"Bhargava, Shankar and Dara Refineries",Hyderabad,Manganese Sulphate,708,Contacted
Desai-Nagy Refineries,Coimbatore,Lithium Carbonate,4244,Leads Generated
Basak-Bandi Refineries,Coimbatore,Nickel Sulphate,4439,Leads Generated
"Dhaliwal, Dixit and Dugal Refineries",Visakhapatnam,Manganese Sulphate,3413,Contacted
"Chauhan, Kapur and Tak Refineries",Coimbatore,Cobalt Sulphate,2698,LOI Received
Aggarwal-Din Refineries,Hosur,Manganese Sulphate,2572,Sample Requested
Nori PLC Refineries,Visakhapatnam,Lithium Carbonate,1088,Leads Generated
Sant Group Refineries,Coimbatore,Cobalt Sulphate,2035,Leads Generated
"Chand, Jani and Dara Refineries",Visakhapatnam,Cobalt Sulphate,4038,Contacted
Comar Group Refineries,Kochi,Nickel Sulphate,1598,Leads Generated
"Kapoor, Choudhry and Padmanabhan Refineries",Chennai,Lithium Carbonate,3320,Contacted
Mangat-Oommen Refineries,Bengaluru,Lithium Carbonate,2633,Leads Generated
"Pall, Lall and Soman Refineries",Hosur,Lithium Carbonate,940,LOI Received
"Sankar, Sarin and Wali Refineries",Coimbatore,Cobalt Sulphate,4207,Leads Generated
Tiwari-Buch Refineries,Bengaluru,Manganese Sulphate,4972,Leads Generated
Lata-Mitra Refineries,Bengaluru,Cobalt Sulphate,2882,Sample Requested
"Naidu, Chandran and Anne Refineries",Coimbatore,Nickel Sulphate,1074,LOI Received
"Sabharwal, Borah and Bahl Refineries",Hosur,Nickel Sulphate,2257,Contacted
Radhakrishnan-Bhargava Refineries,Hyderabad,Cobalt Sulphate,734,Contacted
Lad and Sons Refineries,Coimbatore,Nickel Sulphate,962,Sample Requested
Dada Inc Refineries,Kochi,Nickel Sulphate,4759,LOI Received
Mani-Jha Refineries,Visakhapatnam,Manganese Sulphate,2748,Sample Requested
Nigam Ltd Refineries,Bengaluru,Lithium Carbonate,4331,Leads Generated
Nagy PLC Refineries,Hosur,Cobalt Sulphate,4950,Discussion Stage
Dara Inc Refineries,Visakhapatnam,Manganese Sulphate,3022,LOI Received
"Shetty, Puri and Naik Refineries",Coimbatore,Cobalt Sulphate,4569,Leads Generated
"Taneja, Halder and Krishnan Refineries",Hosur,Cobalt Sulphate,3131,Contacted
"Patil, Choudhry and Joshi Refineries",Visakhapatnam,Lithium Carbonate,1164,Leads Generated
"Dhawan, Apte and Chhabra Refineries",Chennai,Cobalt Sulphate,3758,Discussion Stage
"Sidhu, Natt and Bath Refineries",Kochi,Cobalt Sulphate,913,Leads Generated
Mittal-Nanda Refineries,Kochi,Lithium Carbonate,1183,Sample Requested
"Dara, Vig and Deo Refineries",Bengaluru,Manganese Sulphate,3056,Leads Generated
Memon-Dutta Refineries,Visakhapatnam,Lithium Carbonate,1812,Sample Requested
"Dube, Chauhan and Nanda Refineries",Bengaluru,Manganese Sulphate,4668,Contacted
Chandran-Bhardwaj Refineries,Visakhapatnam,Nickel Sulphate,1055,Contacted
"Om, Gandhi and Mallick Refineries",Coimbatore,Lithium Carbonate,4204,Leads Generated
"Shroff, Magar and Bhatnagar Refineries",Bengaluru,Manganese Sulphate,748,LOI Received
"Sahota, Kapadia and Balan Refineries",Kochi,Manganese Sulphate,2843,Contacted
Kant Ltd Refineries,Kochi,Lithium Carbonate,3971,Contacted
Dugal-Wable Refineries,Bengaluru,Lithium Carbonate,3430,Sample Requested
Sandhu-Chacko Refineries,Coimbatore,Lithium Carbonate,1684,Leads Generated
Bhatt-Korpal Refineries,Hosur,Lithium Carbonate,925,Sample Requested
Gaba Inc Refineries,Hyderabad,Lithium Carbonate,2531,LOI Received
Rajagopal-Lall Refineries,Chennai,Lithium Carbonate,1412,Leads Generated
"Mander, Varughese and Tandon Refineries",Bengaluru,Cobalt Sulphate,4984,Sample Requested
Karan Group Refineries,Chennai,Manganese Sulphate,2096,Sample Requested
"Hora, Chacko and Golla Refineries",Visakhapatnam,Lithium Carbonate,2310,Contacted
Thaker Ltd Refineries,Chennai,Manganese Sulphate,842,Contacted
Saran Inc Refineries,Chennai,Manganese Sulphate,3002,LOI Received
"Mangal, Bhalla and Wali Refineries",Visakhapatnam,Manganese Sulphate,2788,Leads Generated
Shanker-Mohan Refineries,Coimbatore,Nickel Sulphate,3005,Leads Generated
"Hans, Verma and Mannan Refineries",Hyderabad,Cobalt Sulphate,4929,Leads Generated
"Dixit, Khosla and Bir Refineries",Visakhapatnam,Manganese Sulphate,1252,Sample Requested
"Nadkarni, Chauhan and Bala Refineries",Kochi,Manganese Sulphate,3676,Discussion Stage
Patla LLC Refineries,Hosur,Cobalt Sulphate,4421,Sample Requested
"Bava, Sankaran and Chacko Refineries",Hyderabad,Nickel Sulphate,3467,Leads Generated
Wali Ltd Refineries,Hyderabad,Nickel Sulphate,890,Contacted
Sinha-Patla Refineries,Hosur,Nickel Sulphate,1163,Discussion Stage
"Narayanan, Chadha and Dyal Refineries",Visakhapatnam,Nickel Sulphate,1723,LOI Received
Upadhyay-Bhat Refineries,Visakhapatnam,Cobalt Sulphate,4436,Discussion Stage
Goel Ltd Refineries,Kochi,Manganese Sulphate,2664,Leads Generated
"Divan, Konda and Sidhu Refineries",Coimbatore,Cobalt Sulphate,1265,Contacted
Gaba Inc Refineries,Hosur,Lithium Carbonate,3348,Contacted
Rege-Ghosh Refineries,Bengaluru,Lithium Carbonate,3519,Contacted
"Mody, Ahuja and Mishra Refineries",Visakhapatnam,Nickel Sulphate,4250,Contacted
"Rajan, Dhar and Raja Refineries",Hosur,Cobalt Sulphate,4332,Leads Generated
"Hayre, Ahuja and Warrior Refineries",Bengaluru,Lithium Carbonate,3124,LOI Received
Luthra Ltd Refineries,Coimbatore,Manganese Sulphate,4900,Contacted
"Virk, Chaudry and Wali Refineries",Kochi,Lithium Carbonate,2572,Discussion Stage
Rattan Inc Refineries,Coimbatore,Manganese Sulphate,3271,Leads Generated
Naidu and Sons Refineries,Chennai,Manganese Sulphate,3369,Contacted
Sridhar-Goyal Refineries,Chennai,Manganese Sulphate,3573,Discussion Stage
"Varghese, Sarna and Gupta Refineries",Hyderabad,Manganese Sulphate,661,Leads Generated
"Mittal, Som and Bera Refineries",Bengaluru,Nickel Sulphate,3366,Leads Generated
Tata and Sons Refineries,Kochi,Nickel Sulphate,1555,Discussion Stage
Zacharia and Sons Refineries,Kochi,Cobalt Sulphate,2537,Contacted
Misra Inc Refineries,Kochi,Nickel Sulphate,4943,Sample Requested
Dugar Ltd Refineries,Hosur,Lithium Carbonate,4515,Leads Generated
"Menon, Memon and Mukherjee Refineries",Chennai,Cobalt Sulphate,1156,Contacted
Krishnan-Soni Refineries,Bengaluru,Manganese Sulphate,1031,Discussion Stage
Bhalla Ltd Refineries,Hosur,Cobalt Sulphate,1887,Sample Requested
Karpe-Pant Refineries,Coimbatore,Cobalt Sulphate,3861,Leads Generated
Nanda-Ganesan Refineries,Chennai,Cobalt Sulphate,685,Contacted
"Varma, Bassi and Taneja Refineries",Bengaluru,Nickel Sulphate,4594,Leads Generated
Manda LLC Refineries,Hyderabad,Manganese Sulphate,764,Leads Generated
Shankar LLC Refineries,Chennai,Nickel Sulphate,3602,Contacted
Golla-Agrawal Refineries,Bengaluru,Manganese Sulphate,1102,LOI Received
Thaman-Varghese Refineries,Bengaluru,Lithium Carbonate,4929,Discussion Stage
Dara Group Refineries,Hosur,Manganese Sulphate,1116,Leads Generated
Bhavsar and Sons Refineries,Visakhapatnam,Manganese Sulphate,3729,Contacted
Chakrabarti-Saran Refineries,Hyderabad,Manganese Sulphate,1384,Leads Generated
"Misra, Savant and Nadig Refineries",Hosur,Nickel Sulphate,3905,LOI Received
Gera-Nazareth Refineries,Hyderabad,Lithium Carbonate,2360,Sample Requested
Shanker-Babu Refineries,Chennai,Nickel Sulphate,2354,Leads Generated
"Hegde, Karpe and Date Refineries",Visakhapatnam,Lithium Carbonate,3680,Contacted
"Dar, Banik and Mane Refineries",Coimbatore,Cobalt Sulphate,2429,Leads Generated
Nagi-Rattan Refineries,Chennai,Cobalt Sulphate,952,Leads Generated
Sen LLC Refineries,Coimbatore,Cobalt Sulphate,1126,LOI Received
Kibe-Kara Refineries,Kochi,Nickel Sulphate,1333,Discussion Stage
Srinivasan-Lata Refineries,Chennai,Nickel Sulphate,1041,Leads Generated
Badal-Kalla Refineries,Hosur,Lithium Carbonate,4996,Contacted
Nath LLC Refineries,Coimbatore,Lithium Carbonate,4095,Contacted
"Bali, Nigam and Subramaniam Refineries",Coimbatore,Cobalt Sulphate,863,Leads Generated
"Chaudry, Parekh and Chawla Refineries",Chennai,Nickel Sulphate,4998,Contacted
Gara-Shanker Refineries,Chennai,Cobalt Sulphate,2536,Sample Requested
Aurora PLC Refineries,Bengaluru,Cobalt Sulphate,2522,Leads Generated
Gandhi and Sons Refineries,Chennai,Manganese Sulphate,4680,Sample Requested
Kale LLC Refineries,Bengaluru,Lithium Carbonate,2044,Contacted
"Pandya, Soman and Kanda Refineries",Bengaluru,Cobalt Sulphate,4889,Leads Generated
Dave-Sridhar Refineries,Hosur,Cobalt Sulphate,4011,Sample Requested
"Kohli, Verma and Oommen Refineries",Chennai,Cobalt Sulphate,4894,Discussion Stage
"Narayanan, Nayak and Garde Refineries",Kochi,Lithium Carbonate,4951,Sample Requested
Shanker Group Refineries,Bengaluru,Manganese Sulphate,4644,Leads Generated
Suresh Inc Refineries,Hosur,Nickel Sulphate,4692,Contacted
Thakur-Gera Refineries,Hosur,Cobalt Sulphate,1228,Sample Requested
Parikh-Kaul Refineries,Bengaluru,Lithium Carbonate,4971,Leads Generated
Pandya LLC Refineries,Bengaluru,Lithium Carbonate,1938,Leads Generated
"Bora, Saini and Srinivas Refineries",Chennai,Lithium Carbonate,2605,Discussion Stage
Hans-Sarraf Refineries,Kochi,Nickel Sulphate,2080,Leads Generated
"Grover, Keer and Dara Refineries",Hyderabad,Nickel Sulphate,1147,Contacted
Golla PLC Refineries,Coimbatore,Cobalt Sulphate,2784,Sample Requested
Dugar-Narasimhan Refineries,Hosur,Manganese Sulphate,808,Contacted
Dugar-Mammen Refineries,Hosur,Cobalt Sulphate,4141,Contacted
"Sanghvi, Babu and Varma Refineries",Hosur,Cobalt Sulphate,768,Contacted
Sen-Ramanathan Refineries,Hosur,Lithium Carbonate,1921,Contacted
"Sem, Khurana and Date Refineries",Bengaluru,Nickel Sulphate,4164,Leads Generated
Bansal and Sons Refineries,Bengaluru,Nickel Sulphate,2561,Leads Generated
Karan LLC Refineries,Hosur,Nickel Sulphate,4411,Contacted
Luthra Ltd Refineries,Visakhapatnam,Nickel Sulphate,1290,LOI Received
Kulkarni PLC Refineries,Chennai,Cobalt Sulphate,3273,Leads Generated
"Gulati, Roy and Chadha Refineries",Coimbatore,Lithium Carbonate,1046,Leads Generated
Subramanian-Ram Refineries,Hyderabad,Nickel Sulphate,3541,Contacted
"Srivastava, Kannan and Nigam Refineries",Bengaluru,Manganese Sulphate,1132,Contacted
Oak-Dua Refineries,Visakhapatnam,Nickel Sulphate,4276,Sample Requested
Dara Ltd Refineries,Bengaluru,Cobalt Sulphate,3604,Leads Generated
"Purohit, Tiwari and Vaidya Refineries",Chennai,Manganese Sulphate,1272,Contacted
Anne and Sons Refineries,Hyderabad,Nickel Sulphate,2683,LOI Received
Dugar Ltd Refineries,Visakhapatnam,Manganese Sulphate,4626,Leads Generated
Wali and Sons Refineries,Hyderabad,Lithium Carbonate,579,Contacted
Nayak PLC Refineries,Bengaluru,Nickel Sulphate,554,Leads Generated
Palla-Seth Refineries,Hosur,Nickel Sulphate,4705,Sample Requested
"Ben, Deol and Wali Refineries",Coimbatore,Manganese Sulphate,4918,Leads Generated
