Company_Name,City,Battery_Type,Est_Monthly_Kg,Status
Rajagopalan LLC E-Waste Solutions,Kochi,Mobile Phone,1254,Interested
Yadav Ltd E-Waste Solutions,Coimbatore,Mobile Phone,1438,Interested
"Chana, Rattan and Bajwa E-Waste Solutions",Hyderabad,E-Scooter,988,LOI Received
"Bobal, Ghosh and Parsa E-Waste Solutions",Visakhapatnam,E-Scooter,1319,Leads Generated
Srinivasan Group E-Waste Solutions,Bengaluru,Mobile Phone,778,Leads Generated
"Vaidya, Agate and Jha E-Waste Solutions",Hosur,EV Battery Packs,981,Interested
Vohra-Kala E-Waste Solutions,Hyderabad,Mobile Phone,1030,Contacted
Subramanian Ltd E-Waste Solutions,Hyderabad,Mobile Phone,1064,Qualified
Mahal-Parmar E-Waste Solutions,Hosur,E-Scooter,969,Leads Generated
"Bobal, Doshi and Menon E-Waste Solutions",Chennai,Mobile Phone,1452,Leads Generated
Gera PLC E-Waste Solutions,Coimbatore,Laptop,1178,Interested
Khanna-Kothari E-Waste Solutions,Bengaluru,Laptop,253,Contacted
Prashad and Sons E-Waste Solutions,Bengaluru,Mobile Phone,589,Interested
"Vohra, Saini and Mistry E-Waste Solutions",Visakhapatnam,EV Battery Packs,779,Leads Generated
Mane LLC E-Waste Solutions,Kochi,EV Battery Packs,204,Leads Generated
Chatterjee-Brahmbhatt E-Waste Solutions,Chennai,E-Bike,847,Qualified
"Pillai, Gour and Rege E-Waste Solutions",Kochi,E-Bike,657,Interested
Mukhopadhyay Ltd E-Waste Solutions,Kochi,E-Bike,967,LOI Received
Yohannan-Rajagopal E-Waste Solutions,Hyderabad,Mobile Phone,803,Leads Generated
Uppal-Karan E-Waste Solutions,Chennai,EV Battery Packs,1085,Leads Generated
Nayar Group E-Waste Solutions,Hosur,Laptop,1476,Contacted
Sethi and Sons E-Waste Solutions,Visakhapatnam,Laptop,1137,Leads Generated
Sangha Ltd E-Waste Solutions,Visakhapatnam,E-Scooter,833,Contacted
"Koshy, Mody and Chad E-Waste Solutions",Visakhapatnam,E-Scooter,1146,Qualified
Roy PLC E-Waste Solutions,Coimbatore,E-Scooter,1090,LOI Received
Kala-Kaur E-Waste Solutions,Hyderabad,E-Scooter,119,Leads Generated
"Shere, Chaudhary and Korpal E-Waste Solutions",Kochi,EV Battery Packs,396,Contacted
Nayar Group E-Waste Solutions,Kochi,EV Battery Packs,107,Leads Generated
"Johal, Agarwal and Dey E-Waste Solutions",Kochi,E-Scooter,1225,Leads Generated
Raval-Chaudhuri E-Waste Solutions,Hyderabad,E-Bike,1229,Leads Generated
Khare-Ghose E-Waste Solutions,Bengaluru,EV Battery Packs,573,Contacted
Bhagat-Morar E-Waste Solutions,Visakhapatnam,Mobile Phone,840,Contacted
Basu PLC E-Waste Solutions,Kochi,Laptop,1436,Contacted
Sunder-Varkey E-Waste Solutions,Hyderabad,E-Scooter,1457,Contacted
Aggarwal-Desai E-Waste Solutions,Coimbatore,Mobile Phone,1380,Leads Generated
Singhal Group E-Waste Solutions,Coimbatore,Mobile Phone,802,Qualified
Sundaram LLC E-Waste Solutions,Visakhapatnam,E-Bike,741,Interested
Wason PLC E-Waste Solutions,Chennai,E-Bike,903,Contacted
Buch-Virk E-Waste Solutions,Bengaluru,E-Bike,738,Contacted
"Aggarwal, Kannan and Shenoy E-Waste Solutions",Bengaluru,Mobile Phone,316,Leads Generated
Batra Inc E-Waste Solutions,Hosur,E-Scooter,1107,LOI Received
"Sekhon, Ratti and Vig E-Waste Solutions",Chennai,E-Scooter,566,Qualified
"Murthy, Vig and Grewal E-Waste Solutions",Bengaluru,E-Bike,1028,Contacted
"Raman, Dutta and Pai E-Waste Solutions",Kochi,E-Scooter,555,Qualified
"Bhargava, Dixit and Raja E-Waste Solutions",Kochi,EV Battery Packs,1121,Interested
Sachdeva-Lad E-Waste Solutions,Hyderabad,EV Battery Packs,569,Contacted
Mand-Sharma E-Waste Solutions,Chennai,E-Scooter,1282,Contacted
"Kant, Kumar and Mohan E-Waste Solutions",Chennai,Laptop,608,Leads Generated
"Singh, Ranganathan and Joshi E-Waste Solutions",Kochi,Laptop,577,Contacted
"Narang, Lal and Sama E-Waste Solutions",Bengaluru,E-Scooter,1397,LOI Received
Ram and Sons E-Waste Solutions,Bengaluru,EV Battery Packs,185,Qualified
Prasad Group E-Waste Solutions,Coimbatore,Mobile Phone,130,Leads Generated
Suri PLC E-Waste Solutions,Kochi,E-Bike,376,Leads Generated
Sandal-Lanka E-Waste Solutions,Bengaluru,E-Scooter,695,Leads Generated
Devi-Mallick E-Waste Solutions,Hyderabad,Laptop,152,Qualified
"Chahal, Bala and Mittal E-Waste Solutions",Hyderabad,EV Battery Packs,1025,Leads Generated
De LLC E-Waste Solutions,Chennai,E-Scooter,1486,Leads Generated
Lal-Lall E-Waste Solutions,Hosur,Laptop,1046,Interested
Dhaliwal-Yohannan E-Waste Solutions,Coimbatore,Mobile Phone,377,Leads Generated
Grover PLC E-Waste Solutions,Bengaluru,E-Scooter,143,Leads Generated
Malhotra Group E-Waste Solutions,Coimbatore,E-Bike,997,Leads Generated
Nadig LLC E-Waste Solutions,Hyderabad,EV Battery Packs,864,Contacted
"Tank, Jhaveri and Soni E-Waste Solutions",Hosur,E-Bike,155,Contacted
"Saxena, Mital and Murthy E-Waste Solutions",Kochi,E-Scooter,1377,Contacted
Banik LLC E-Waste Solutions,Kochi,EV Battery Packs,1448,Leads Generated
Kaur PLC E-Waste Solutions,Hyderabad,Laptop,1100,Contacted
Malhotra-Panchal E-Waste Solutions,Hosur,Mobile Phone,679,Qualified
Chhabra PLC E-Waste Solutions,Hosur,Mobile Phone,1083,Contacted
Dave and Sons E-Waste Solutions,Kochi,E-Bike,866,Interested
Pant Inc E-Waste Solutions,Bengaluru,EV Battery Packs,1380,Contacted
Sridhar PLC E-Waste Solutions,Hosur,Laptop,1499,Leads Generated
Pandya and Sons E-Waste Solutions,Chennai,EV Battery Packs,961,Qualified
Khurana Inc E-Waste Solutions,Chennai,EV Battery Packs,961,Leads Generated
Kannan-Dyal E-Waste Solutions,Visakhapatnam,EV Battery Packs,1204,Leads Generated
Sastry Inc E-Waste Solutions,Hyderabad,E-Bike,1216,LOI Received
Prashad and Sons E-Waste Solutions,Coimbatore,Mobile Phone,1342,Contacted
Varty-Bhatt E-Waste Solutions,Hosur,E-Bike,482,Contacted
Yohannan and Sons E-Waste Solutions,Bengaluru,EV Battery Packs,303,Contacted
Setty-Dhingra E-Waste Solutions,Hyderabad,EV Battery Packs,634,Interested
Thaker Ltd E-Waste Solutions,Bengaluru,E-Scooter,565,Leads Generated
Mane LLC E-Waste Solutions,Hosur,Mobile Phone,388,Interested
Balay and Sons E-Waste Solutions,Chennai,Laptop,1233,Contacted
Nanda Group E-Waste Solutions,Chennai,Mobile Phone,897,Interested
"Bhattacharyya, Guha and Rai E-Waste Solutions",Bengaluru,E-Scooter,768,LOI Received
Kalita-Kapoor E-Waste Solutions,Bengaluru,EV Battery Packs,477,Leads Generated
Basu PLC E-Waste Solutions,Bengaluru,Mobile Phone,605,Leads Generated
"Murthy, Jha and Buch E-Waste Solutions",Bengaluru,Mobile Phone,1067,Leads Generated
Doshi-Bhakta E-Waste Solutions,Hyderabad,E-Bike,618,Leads Generated
Chada PLC E-Waste Solutions,Visakhapatnam,E-Bike,364,Contacted
Kata Ltd E-Waste Solutions,Hosur,Laptop,1490,Contacted
"Tata, Bose and Jhaveri E-Waste Solutions",Hyderabad,E-Scooter,1280,Leads Generated
"Natt, Konda and Parsa E-Waste Solutions",Kochi,Laptop,374,Leads Generated
"Tak, Babu and Nagar E-Waste Solutions",Visakhapatnam,E-Bike,653,Contacted
Swamy LLC E-Waste Solutions,Hosur,E-Bike,1063,Leads Generated
Solanki and Sons E-Waste Solutions,Bengaluru,Mobile Phone,1471,Leads Generated
"Shetty, Shere and Mannan E-Waste Solutions",Chennai,EV Battery Packs,535,Interested
Goyal-Bajaj E-Waste Solutions,Kochi,E-Bike,782,Leads Generated
Talwar-Halder E-Waste Solutions,Hosur,E-Bike,1407,Leads Generated
Nagi-Dhar E-Waste Solutions,Visakhapatnam,Laptop,325,Contacted
Venkataraman-Nath E-Waste Solutions,Chennai,Laptop,148,Leads Generated
Bhardwaj LLC E-Waste Solutions,Hyderabad,E-Scooter,1064,Qualified
Sandhu-Pal E-Waste Solutions,Visakhapatnam,Mobile Phone,1074,Qualified
Bera-Rau E-Waste Solutions,Visakhapatnam,E-Bike,463,Leads Generated
Sane-Virk E-Waste Solutions,Visakhapatnam,EV Battery Packs,549,Interested
"Krishnamurthy, Gokhale and Saran E-Waste Solutions",Hosur,E-Scooter,1410,Contacted
Naik-Pau E-Waste Solutions,Coimbatore,Mobile Phone,791,Leads Generated
Deshmukh Ltd E-Waste Solutions,Hosur,Mobile Phone,777,Contacted
"Sani, Muni and Mallick E-Waste Solutions",Chennai,Mobile Phone,823,Leads Generated
Shah and Sons E-Waste Solutions,Coimbatore,Laptop,1500,Contacted
Mukhopadhyay Inc E-Waste Solutions,Hyderabad,Laptop,481,Contacted
Ghosh-Parsa E-Waste Solutions,Chennai,E-Scooter,549,Leads Generated
Toor-Chaudhari E-Waste Solutions,Kochi,Mobile Phone,806,Contacted
Dewan-Narayan E-Waste Solutions,Hosur,EV Battery Packs,1442,Leads Generated
"Dhar, Nanda and Badami E-Waste Solutions",Kochi,E-Bike,583,Contacted
"Oommen, Yogi and Kale E-Waste Solutions",Hyderabad,E-Bike,282,Interested
"Kothari, Natt and Dass E-Waste Solutions",Visakhapatnam,EV Battery Packs,1227,Contacted
Mukhopadhyay-Sarna E-Waste Solutions,Chennai,EV Battery Packs,106,Contacted
"Barman, Grewal and Shankar E-Waste Solutions",Hosur,E-Scooter,1316,Leads Generated
Pau-Bhagat E-Waste Solutions,Hyderabad,E-Bike,1176,Contacted
"Bhargava, Bhatt and Bhat E-Waste Solutions",Kochi,Laptop,774,Leads Generated
Kalla-Bansal E-Waste Solutions,Visakhapatnam,Mobile Phone,386,Leads Generated
"Kanda, Keer and Swamy E-Waste Solutions",Hyderabad,Laptop,1485,Leads Generated
Bhardwaj and Sons E-Waste Solutions,Bengaluru,Mobile Phone,638,Contacted
Ganesan-Chacko E-Waste Solutions,Bengaluru,Laptop,451,Leads Generated
"Chaudhuri, Srinivas and Pathak E-Waste Solutions",Visakhapatnam,E-Scooter,1161,Leads Generated
Gala-Ben E-Waste Solutions,Coimbatore,EV Battery Packs,733,Leads Generated
Varty LLC E-Waste Solutions,Hosur,EV Battery Packs,326,Qualified
Om-Ratta E-Waste Solutions,Hyderabad,Mobile Phone,1494,Contacted
Raja LLC E-Waste Solutions,Coimbatore,E-Scooter,878,Qualified
Varkey-Varghese E-Waste Solutions,Kochi,E-Scooter,1175,Leads Generated
Subramaniam Ltd E-Waste Solutions,Hyderabad,Mobile Phone,1033,Interested
Bhavsar-Keer E-Waste Solutions,Kochi,E-Bike,755,Contacted
"Panchal, Yohannan and Mistry E-Waste Solutions",Kochi,EV Battery Packs,534,Leads Generated
Wable-Shroff E-Waste Solutions,Hyderabad,EV Battery Packs,180,LOI Received
Khatri LLC E-Waste Solutions,Visakhapatnam,Mobile Phone,1190,Interested
"Issac, Minhas and Karnik E-Waste Solutions",Chennai,EV Battery Packs,641,LOI Received
Dada-Sahni E-Waste Solutions,Visakhapatnam,Laptop,301,Leads Generated
"Sharaf, Bala and Sangha E-Waste Solutions",Visakhapatnam,EV Battery Packs,1176,Leads Generated
Muni LLC E-Waste Solutions,Hyderabad,EV Battery Packs,1303,Contacted
Dass-Sridhar E-Waste Solutions,Hyderabad,EV Battery Packs,1459,Contacted
Andra-Pau E-Waste Solutions,Chennai,E-Scooter,1456,Contacted
Bose-Narain E-Waste Solutions,Visakhapatnam,EV Battery Packs,1012,LOI Received
Sawhney Group E-Waste Solutions,Visakhapatnam,Mobile Phone,1418,Leads Generated
Thaman and Sons E-Waste Solutions,Chennai,E-Bike,396,Leads Generated
Oak and Sons E-Waste Solutions,Kochi,Laptop,1050,Qualified
Garde-Arora E-Waste Solutions,Kochi,Mobile Phone,874,Contacted
Saran Ltd E-Waste Solutions,Chennai,Laptop,1401,Leads Generated
Iyer-Kunda E-Waste Solutions,Visakhapatnam,E-Bike,304,Qualified
Chokshi PLC E-Waste Solutions,Kochi,Laptop,918,LOI Received
"Natt, Pai and Chand E-Waste Solutions",Bengaluru,E-Bike,394,Leads Generated
Kapur-Wason E-Waste Solutions,Hyderabad,E-Scooter,547,Interested
Hans PLC E-Waste Solutions,Hosur,E-Bike,1127,Contacted
Tailor Inc E-Waste Solutions,Kochi,Mobile Phone,447,Leads Generated
"Handa, Nagi and Deshpande E-Waste Solutions",Coimbatore,EV Battery Packs,725,Leads Generated
"Toor, Ravel and Konda E-Waste Solutions",Visakhapatnam,EV Battery Packs,245,Qualified
"Seth, Samra and Dutt E-Waste Solutions",Visakhapatnam,Laptop,916,Leads Generated
Pandya Inc E-Waste Solutions,Visakhapatnam,E-Scooter,1103,Qualified
"Sha, Jani and Saha E-Waste Solutions",Hosur,E-Bike,1416,Leads Generated
Naik-Gokhale E-Waste Solutions,Visakhapatnam,EV Battery Packs,487,Leads Generated
"Uppal, Panchal and Malhotra E-Waste Solutions",Kochi,E-Bike,265,Leads Generated
Jha Ltd E-Waste Solutions,Coimbatore,Laptop,1011,Leads Generated
"Nayak, Raj and Chand E-Waste Solutions",Hosur,Mobile Phone,1248,Contacted
Bahl LLC E-Waste Solutions,Chennai,Mobile Phone,1272,Contacted
Bala-More E-Waste Solutions,Chennai,E-Bike,1394,Qualified
Sibal-Kunda E-Waste Solutions,Visakhapatnam,Laptop,1200,Contacted
Ganguly-Sood E-Waste Solutions,Visakhapatnam,Mobile Phone,1121,Leads Generated
Sama-Sodhi E-Waste Solutions,Hyderabad,EV Battery Packs,1355,Contacted
Soni-Varty E-Waste Solutions,Hosur,EV Battery Packs,371,Leads Generated
Basak-Mangat E-Waste Solutions,Coimbatore,E-Bike,911,Leads Generated
Mittal-Vala E-Waste Solutions,Bengaluru,Mobile Phone,223,Contacted
"Chaudhary, Sabharwal and Nagarajan E-Waste Solutions",Bengaluru,Laptop,752,Contacted
"Nadkarni, Ramanathan and Munshi E-Waste Solutions",Kochi,EV Battery Packs,416,Leads Generated
Patla-Venkatesh E-Waste Solutions,Chennai,Mobile Phone,1479,Leads Generated
"Rajagopalan, Kohli and Chaudhuri E-Waste Solutions",Bengaluru,E-Scooter,700,Leads Generated
Mangal-Borah E-Waste Solutions,Kochi,E-Bike,1447,Leads Generated
Sibal-Sodhi E-Waste Solutions,Visakhapatnam,Laptop,1209,Interested
"Chowdhury, Atwal and Bail E-Waste Solutions",Chennai,Laptop,865,Contacted
Rama PLC E-Waste Solutions,Kochi,EV Battery Packs,776,Leads Generated
Karpe Inc E-Waste Solutions,Coimbatore,Mobile Phone,765,Contacted
Sahni and Sons E-Waste Solutions,Hyderabad,EV Battery Packs,896,Interested
Bhasin Group E-Waste Solutions,Hyderabad,E-Bike,1062,Leads Generated
Murthy PLC E-Waste Solutions,Hosur,E-Scooter,181,Leads Generated
"Bora, Kari and Babu E-Waste Solutions",Visakhapatnam,EV Battery Packs,1034,Interested
"Vala, Chatterjee and Bhavsar E-Waste Solutions",Bengaluru,Mobile Phone,657,Qualified
Muni-Bhardwaj E-Waste Solutions,Bengaluru,E-Scooter,1108,Leads Generated
Chopra Ltd E-Waste Solutions,Chennai,Laptop,1407,LOI Received
Subramaniam PLC E-Waste Solutions,Hosur,EV Battery Packs,968,Contacted
"Dani, Kapoor and Kaul E-Waste Solutions",Coimbatore,EV Battery Packs,1413,LOI Received
"Behl, Misra and Das E-Waste Solutions",Hyderabad,E-Scooter,750,Leads Generated
Lal-Jha E-Waste Solutions,Kochi,Laptop,1164,Contacted
Jani LLC E-Waste Solutions,Hyderabad,Mobile Phone,1264,Leads Generated
Pandit-Dalal E-Waste Solutions,Hosur,E-Bike,601,Contacted
Karpe PLC E-Waste Solutions,Bengaluru,Mobile Phone,484,Contacted
"Chhabra, Bal and Pandya E-Waste Solutions",Coimbatore,EV Battery Packs,1176,Leads Generated
"Nayar, Tank and Virk E-Waste Solutions",Chennai,Laptop,373,Qualified
Tank Ltd E-Waste Solutions,Visakhapatnam,EV Battery Packs,985,Contacted
Sarraf and Sons E-Waste Solutions,Kochi,E-Bike,339,Leads Generated
Shenoy and Sons E-Waste Solutions,Bengaluru,Laptop,684,Interested
